ID,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?",What you miss the most
R1,21,2.0,Good,Laptop/Desktop,4.0,0.0,7.0,3.0,1,4,Increased,NO,Cooking,YES,YES,School/college
R2,21,0.0,Excellent,Smartphone,0.0,2.0,10.0,3.0,0,3,Decreased,NO,Scrolling through social media,YES,NO,Roaming around freely
R3,20,7.0,Very poor,Laptop/Desktop,3.0,0.0,6.0,2.0,0,3,Remain Constant,NO,Listening to music,NO,YES,Travelling
R4,20,3.0,Very poor,Smartphone,2.0,1.0,6.0,5.0,0,3,Decreased,NO,Watching web series,NO,NO,"Friends , relatives"
R5,21,3.0,Good,Laptop/Desktop,3.0,1.0,8.0,3.0,1,4,Remain Constant,NO,Social Media,NO,NO,Travelling
R6,21,0.0,Very poor,Smartphone,6.0,0.0,5.0,1.0,0,1,Decreased,YES,Coding and studying for exams,NO,YES,School/college
R7,19,2.0,Very poor,Smartphone,2.0,1.0,5.0,4.0,0,3,Increased,NO,Watching web series,NO,YES,"Friends , relatives"
R8,19,2.0,Very poor,Tablet,1.0,1.0,10.0,5.0,0,3,Increased,YES,Scrolling through social media,NO,YES,Eating outside
R9,21,3.0,Very poor,Laptop/Desktop,4.0,1.0,8.0,2.0,1,3,Increased,NO,Online surfing,NO,NO,"Friends , relatives"
R10,20,0.0,Very poor,Laptop/Desktop,1.0,0.5,8.0,5.0,3,3,Decreased,YES,live stream watching,NO,NO,School/college
R11,21,3.0,Good,Laptop/Desktop,3.0,1.0,8.0,3.0,1,4,Remain Constant,NO,Social Media,NO,NO,Colleagues
R12,21,1.0,Very poor,Laptop/Desktop,0.0,1.0,7.0,3.0,1,2,Increased,YES,Watching web series,YES,YES,Eating outside
R13,21,3.0,Average,Laptop/Desktop,0.0,0.0,8.0,3.0,0,3,Increased,YES,Listening to music,NO,NO,School/college
R15,20,5.0,Very poor,Laptop/Desktop,1.0,0.0,8.0,3.0,0,3,Remain Constant,NO,Scrolling through social media,NO,NO,Eating outside
R16,22,3.0,Average,Smartphone,3.0,1.0,6.0,2.0,1,3,Increased,NO,Online gaming,YES,YES,Eating outside
R17,20,0.0,Good,Smartphone,0.0,0.0,8.0,2.0,1,3,Increased,NO,Online gaming,NO,YES,Colleagues
R18,20,1.0,Very poor,Smartphone,2.0,1.0,8.0,1.0,0,3,Remain Constant,NO,Listening to music,NO,NO,Roaming around freely
R19,21,0.0,Very poor,Laptop/Desktop,4.0,0.0,7.0,7.0,n,2,Remain Constant,NO,Reading books,NO,NO,"Friends , relatives"
R20,22,5.0,Very poor,Smartphone,2.0,1.0,8.0,4.0,0,3,Increased,NO,Dancing,YES,YES,"Friends , relatives"
R21,20,4.0,Excellent,Laptop/Desktop,5.0,0.0,6.0,2.0,1,2,Decreased,NO,Listening to music,YES,YES,Roaming around freely
R22,21,5.0,Average,Laptop/Desktop,2.0,1.0,10.0,5.0,2,3,Remain Constant,NO,Talking with friends ,YES,NO,School/college
R23,21,4.0,Very poor,Smartphone,1.0,0.0,8.0,6.0,1,4,Decreased,NO,Watching web series,NO,YES,School/college
R24,21,4.0,Average,Laptop/Desktop,2.0,1.0,7.0,1.0,0,3,Decreased,NO,Dancing,YES,YES,Travelling
