age,online_class_time,class_rating,class_medium,self_study_time,sleep_time,social_media_time,time_utilized
21,2.0,Good,Laptop/Desktop,4.0,7.0,3.0,YES
21,0.0,Excellent,Smartphone,0.0,10.0,3.0,YES
20,7.0,Very poor,Laptop/Desktop,3.0,6.0,2.0,NO
20,3.0,Very poor,Smartphone,2.0,6.0,5.0,NO
21,3.0,Good,Laptop/Desktop,3.0,8.0,3.0,NO
21,0.0,Very poor,Smartphone,6.0,5.0,1.0,NO
19,2.0,Very poor,Smartphone,2.0,5.0,4.0,NO
19,2.0,Very poor,Tablet,1.0,10.0,5.0,NO
21,3.0,Very poor,Laptop/Desktop,4.0,8.0,2.0,NO
20,0.0,Very poor,Laptop/Desktop,1.0,8.0,5.0,NO
21,3.0,Good,Laptop/Desktop,3.0,8.0,3.0,NO
21,1.0,Very poor,Laptop/Desktop,0.0,7.0,3.0,YES
21,3.0,Average,Laptop/Desktop,0.0,8.0,3.0,NO
20,5.0,Very poor,Laptop/Desktop,1.0,8.0,3.0,NO
22,3.0,Average,Smartphone,3.0,6.0,2.0,YES
20,0.0,Good,Smartphone,0.0,8.0,2.0,NO
20,1.0,Very poor,Smartphone,2.0,8.0,1.0,NO
21,0.0,Very poor,Laptop/Desktop,4.0,7.0,7.0,NO
22,5.0,Very poor,Smartphone,2.0,8.0,4.0,YES
20,4.0,Excellent,Laptop/Desktop,5.0,6.0,2.0,YES
21,5.0,Average,Laptop/Desktop,2.0,10.0,5.0,YES
21,4.0,Very poor,Smartphone,1.0,8.0,6.0,NO
21,4.0,Average,Laptop/Desktop,2.0,7.0,1.0,YES
20,3.0,Very poor,Smartphone,4.0,9.0,2.0,YES
20,5.0,Very poor,Smartphone,2.0,9.0,5.0,YES
21,4.0,Very poor,Laptop/Desktop,5.0,8.0,3.0,NO
20,3.0,Very poor,Laptop/Desktop,6.0,9.0,2.0,NO
31,8.0,Average,Laptop/Desktop,4.0,6.0,2.0,YES
22,4.0,Very poor,Smartphone,6.0,5.0,3.0,NO
19,4.0,Very poor,Smartphone,5.0,7.0,2.0,YES
23,4.0,Excellent,Laptop/Desktop,18.0,8.0,2.0,YES
22,5.0,Very poor,Laptop/Desktop,1.0,6.0,2.0,YES
21,6.0,Average,Smartphone,2.0,8.0,3.0,NO
17,4.0,Very poor,Laptop/Desktop,1.0,7.0,1.5,NO
20,4.0,Average,Laptop/Desktop,2.0,8.0,2.0,NO
22,1.0,Very poor,Smartphone,2.0,8.0,2.0,NO
24,4.0,Good,Laptop/Desktop,4.0,6.0,4.0,YES
21,0.0,Very poor,Laptop/Desktop,0.0,10.0,8.0,YES
20,7.0,Very poor,Smartphone,2.0,8.0,2.0,NO
21,5.0,Very poor,Laptop/Desktop,3.0,8.0,1.0,NO
18,2.0,Average,Smartphone,2.0,12.0,1.0,NO
22,3.0,Very poor,Laptop/Desktop,2.0,8.0,1.0,NO
20,2.0,Very poor,Smartphone,6.0,7.0,1.0,YES
20,2.0,Very poor,Smartphone,3.0,6.0,2.0,NO
21,3.0,Very poor,Laptop/Desktop,4.0,8.0,2.0,YES
18,4.0,Good,Laptop/Desktop,2.0,8.0,4.0,YES
19,0.0,Very poor,Smartphone,1.0,8.0,2.0,NO
20,5.0,Average,Laptop/Desktop,6.0,7.0,2.0,NO
21,3.0,Average,Laptop/Desktop,17.0,5.0,1.0,NO
19,0.0,Average,Smartphone,2.0,10.0,1.0,YES
21,4.0,Average,Smartphone,4.0,8.0,2.0,YES
19,4.0,Very poor,Smartphone,2.0,7.0,1.0,YES
19,2.0,Very poor,Smartphone,2.0,8.0,1.0,NO
18,1.0,Very poor,Smartphone,8.0,8.0,5.0,YES
20,5.0,Average,Laptop/Desktop,1.0,7.0,1.0,NO
21,0.0,Very poor,Smartphone,5.0,8.0,1.0,YES
22,6.0,Very poor,Laptop/Desktop,6.0,6.0,1.0,YES
20,3.0,Very poor,Laptop/Desktop,6.0,8.0,1.0,YES
18,0.0,Very poor,Laptop/Desktop,2.0,6.0,5.0,NO
20,2.0,Very poor,Laptop/Desktop,0.0,8.0,2.0,NO
23,2.0,Very poor,Smartphone,1.0,7.0,5.0,YES
20,4.0,Average,Smartphone,4.0,7.0,2.0,NO
18,3.0,Average,Smartphone,1.0,8.0,3.0,YES
20,1.5,Very poor,Smartphone,3.0,9.0,1.0,NO
19,2.0,Very poor,Tablet,2.0,8.0,5.0,NO
20,2.0,Very poor,Smartphone,3.0,6.0,2.0,NO
22,6.0,Very poor,Smartphone,4.0,7.0,2.0,NO
20,2.0,Very poor,Smartphone,2.0,7.0,3.0,NO
19,1.0,Average,Laptop/Desktop,0.5,7.0,5.0,NO
18,3.0,Very poor,Smartphone,2.0,8.0,8.0,NO
19,3.0,Average,Smartphone,5.0,5.0,4.0,YES
19,0.0,Very poor,Smartphone,1.0,8.0,2.0,YES
20,3.0,Average,Laptop/Desktop,3.0,10.0,10.0,NO
20,3.0,Excellent,Laptop/Desktop,0.0,8.0,5.0,NO
21,5.0,Average,Laptop/Desktop,5.0,8.0,7.0,NO
21,3.0,Good,Smartphone,2.0,10.0,1.0,NO
19,2.0,Very poor,Smartphone,2.0,9.0,3.0,YES
20,0.0,Very poor,Laptop/Desktop,1.0,12.0,2.0,NO
21,1.0,Poor,Smartphone,8.0,10.0,1.0,YES
19,2.0,Very poor,Tablet,2.0,8.0,5.0,NO
20,5.0,Average,Smartphone,3.0,7.0,1.5,YES
21,4.0,Very poor,Smartphone,3.0,8.0,1.0,NO
18,3.0,Very poor,Smartphone,4.0,7.0,1.0,NO
19,4.0,Average,Smartphone,3.0,7.0,3.0,YES
25,4.0,Very poor,Smartphone,3.0,7.0,1.0,NO
19,0.0,Very poor,Smartphone,4.0,8.0,1.0,NO
19,4.0,Very poor,Laptop/Desktop,0.0,8.0,2.0,NO
20,4.0,Good,Smartphone,2.0,8.0,6.0,YES
20,2.0,Average,Smartphone,3.0,5.0,4.0,NO
19,5.0,Good,Tablet,3.0,8.0,2.0,NO
19,3.0,Average,Smartphone,1.0,10.0,4.0,NO
22,2.0,Average,Smartphone,0.0,12.0,4.0,NO
21,1.0,Good,Smartphone,3.0,10.0,1.0,NO
21,1.0,Very poor,Smartphone,2.0,8.0,1.0,NO
16,6.0,Poor,Smartphone,2.0,7.0,2.0,YES
21,3.0,Average,Laptop/Desktop,5.0,8.0,7.0,NO
21,4.0,Very poor,Smartphone,4.0,7.0,1.0,YES
16,3.0,Very poor,Smartphone,3.0,7.0,3.0,NO
21,2.0,Very poor,Smartphone,7.0,8.0,0.5,YES
23,4.0,Excellent,Laptop/Desktop,6.0,8.0,0.3,YES
19,2.0,Very poor,Smartphone,1.5,7.0,2.0,NO
20,1.0,Very poor,Smartphone,2.0,8.0,1.0,NO
18,2.0,Very poor,Smartphone,3.0,8.0,1.0,YES
10,3.0,Good,Tablet,3.0,10.0,1.0,YES
20,0.0,Very poor,Smartphone,2.0,8.0,0.15,YES
21,3.0,Average,Smartphone,3.0,11.0,2.0,NO
19,1.0,Very poor,Smartphone,4.0,8.0,1.0,NO
14,5.0,Average,Laptop/Desktop,4.0,7.0,4.0,NO
18,2.0,Very poor,Smartphone,3.0,10.0,2.0,NO
18,3.0,Very poor,Smartphone,6.0,7.0,3.0,YES
24,4.0,Excellent,Laptop/Desktop,8.0,8.0,2.0,YES
14,3.0,Good,Smartphone,5.0,12.0,0.3,YES
21,4.0,Good,Laptop/Desktop,2.0,7.0,2.0,YES
19,2.0,Average,Smartphone,6.0,6.0,1.0,NO
18,2.5,Average,Smartphone,2.0,8.0,1.0,NO
23,6.0,Average,Laptop/Desktop,5.0,6.0,1.0,YES
21,4.0,Average,Smartphone,4.0,8.0,1.0,YES
18,5.0,Very poor,Smartphone,3.0,9.0,7.0,YES
19,1.0,Very poor,Smartphone,2.0,7.0,1.0,NO
20,5.0,Average,Smartphone,4.0,7.0,2.0,YES
20,2.0,Average,Smartphone,3.0,6.5,1.0,YES
19,2.0,Very poor,Smartphone,4.0,8.0,2.0,NO
15,1.0,Good,Smartphone,3.0,6.0,4.0,YES
20,3.0,Very poor,Smartphone,3.0,9.0,2.0,YES
17,6.0,Average,Laptop/Desktop,4.0,8.0,1.0,NO
18,2.0,Very poor,Smartphone,2.0,9.0,2.0,YES
20,2.0,Very poor,Smartphone,4.0,10.0,4.0,NO
18,5.0,Average,Smartphone,1.0,8.0,1.0,YES
22,0.1,Poor,Smartphone,2.5,12.0,0.3,NO
18,3.0,Very poor,Smartphone,5.0,7.0,2.0,NO
15,4.0,Average,Smartphone,2.0,6.0,1.0,NO
22,1.0,Very poor,Laptop/Desktop,10.0,7.0,1.0,YES
19,3.0,Very poor,Laptop/Desktop,2.0,9.0,1.0,NO
20,3.0,Very poor,Smartphone,5.0,7.0,2.0,YES
20,3.0,Very poor,Smartphone,3.0,9.0,2.0,YES
18,2.0,Poor,Smartphone,6.0,7.0,1.0,YES
19,2.0,Very poor,Smartphone,2.0,8.0,2.0,YES
14,4.0,Average,Smartphone,2.0,8.0,2.0,YES
20,6.0,Average,Laptop/Desktop,1.0,6.0,1.0,YES
20,3.0,Average,Laptop/Desktop,2.0,8.0,2.0,NO
19,6.0,Very poor,Smartphone,3.0,7.0,2.0,NO
19,1.0,Average,Laptop/Desktop,1.0,10.0,1.0,YES
18,2.0,Very poor,Smartphone,2.0,10.0,2.0,NO
21,4.0,Very poor,Smartphone,4.0,8.0,2.0,NO
15,4.0,Average,Smartphone,7.0,6.0,1.0,YES
20,5.0,Very poor,Tablet,3.0,8.0,2.0,NO
21,1.0,Very poor,Smartphone,3.0,6.0,1.0,NO
19,0.5,Very poor,Smartphone,7.0,7.0,0.1,YES
20,3.0,Very poor,Laptop/Desktop,1.0,6.0,2.0,NO
21,5.0,Average,Smartphone,1.0,5.0,1.0,NO
21,4.0,Excellent,Laptop/Desktop,6.0,6.0,1.0,YES
21,3.0,Very poor,Smartphone,2.0,7.0,2.0,NO
20,4.0,Average,Laptop/Desktop,2.0,7.0,2.0,NO
20,6.0,Very poor,Smartphone,3.0,8.0,4.0,NO
23,0.0,Very poor,Laptop/Desktop,1.0,10.0,4.0,NO
21,4.0,Very poor,Smartphone,3.0,8.0,1.0,NO
22,1.0,Very poor,Smartphone,4.0,7.0,2.0,NO
23,3.0,Good,Tablet,0.0,12.0,4.0,NO
22,4.0,Good,Smartphone,4.0,8.0,2.0,YES
21,0.0,Very poor,Smartphone,1.0,7.0,10.0,NO
20,0.0,Very poor,Smartphone,3.0,12.0,1.0,NO
15,4.0,Average,Smartphone,2.0,7.0,1.0,NO
20,0.0,Very poor,Smartphone,3.0,8.0,2.0,YES
20,0.0,Very poor,Smartphone,1.0,8.0,0.5,NO
16,4.0,Excellent,Laptop/Desktop,3.0,10.0,1.0,YES
22,1.0,Average,Smartphone,3.0,7.0,1.0,NO
20,5.0,Average,Laptop/Desktop,4.0,10.0,2.0,YES
