gender,home_location,education_level,age,num_subjects,device_type,economic_status,family_size,internet_availability,elderly_monitoring,study_hours,sleep_hours,social_media_hours,separate_study_room,group_study,marks_before,online_interaction,online_doubt_clearing,interest_area,online_performance,satisfaction,tech_readiness,marks_after,engagement_cal
Male,Urban,Under Graduate,18,11,Laptop,Middle Class,4,5,Yes,3,6,1,No,No,91,1,1,Practical,6,2,6,100,3
Male,Urban,Under Graduate,19,7,Laptop,Middle Class,4,1,Yes,7,5,1,Yes,No,91,1,1,Theory,3,1,2,100,7
Male,Rural,Under Graduate,18,5,Laptop,Middle Class,5,2,Yes,6,7,1,Yes,No,71,1,1,Both,6,1,3,80,6
Male,Urban,Under Graduate,18,5,Laptop,Middle Class,4,4,Yes,3,6,2,No,yes,91,1,2,Theory,4,1,5,100,3
Male,Rural,Under Graduate,18,5,Laptop,Middle Class,4,3,No,8,7,2,Yes,yes,81,3,3,Both,6,2,4,90,10
Male,Urban,Under Graduate,18,5,Laptop,Middle Class,4,4,Yes,3,6,2,No,yes,91,1,1,Theory,2,1,5,100,3
Male,Urban,Under Graduate,19,5,Laptop,Middle Class,5,5,No,2,6,3,Yes,yes,81,4,3,Both,6,2,6,90,4
Male,Urban,Under Graduate,17,4,Laptop,Middle Class,4,4,Yes,4,8,6,Yes,No,61,3,3,Practical,6,2,5,70,1
Female,Urban,Under Graduate,19,5,Laptop,Middle Class,4,4,Yes,6,6,2,Yes,yes,81,4,1,Both,9,1,5,90,9
Female,Rural,Under Graduate,20,9,Laptop,Middle Class,4,3,Yes,4,7,2,No,No,81,3,2,Theory,6,2,4,90,5
Female,Urban,Under Graduate,18,4,Desktop,Middle Class,3,5,No,5,6,3,Yes,No,81,2,1,Practical,9,2,5,90,4
Male,Rural,Post Graduate,25,5,Mobile,Middle Class,2,3,Yes,3,7,1,Yes,yes,71,3,3,Practical,7,2,3,80,6
Male,Urban,Under Graduate,20,7,Laptop,Middle Class,4,4,No,7,5,1,Yes,yes,81,4,4,Both,6,2,5,90,11
Male,Urban,Under Graduate,17,5,Laptop,Middle Class,4,4,Yes,2,6,2,No,yes,81,3,2,Practical,5,2,5,90,4
Male,Urban,School,21,5,Laptop,Middle Class,5,4,Yes,5,7,2,No,No,81,3,3,Both,6,2,5,90,6
Male,Urban,School,20,5,Desktop,Middle Class,4,3,Yes,5,6,5,Yes,yes,91,2,2,Both,5,1,3,100,3
Female,Urban,Post Graduate,20,9,Laptop,Middle Class,4,4,Yes,8,5,2,No,No,31,2,2,Practical,6,2,5,40,8
Male,Rural,Post Graduate,23,5,Desktop,Middle Class,6,3,No,5,7,2,Yes,No,81,2,2,Both,6,1,3,90,5
Female,Urban,School,18,4,Desktop,Middle Class,4,4,Yes,7,7,2,Yes,yes,81,2,2,Theory,7,2,4,90,8
Female,Urban,Under Graduate,19,6,Laptop,Middle Class,4,5,Yes,5,7,4,Yes,No,81,3,2,Theory,6,2,6,90,4
Male,Urban,Post Graduate,24,20,Laptop,Poor,6,3,No,8,8,2,No,No,81,2,3,Practical,4,1,4,90,8
Female,Urban,Post Graduate,22,8,Mobile,Middle Class,4,4,No,2,8,2,Yes,yes,81,3,3,Both,10,3,4,90,4
